IndexStep,TimeStep,LevelBefore,LevelAfter,StepSize,DwellTimeStepBefore,DwellTimeStepAfter,StepError
63,63,0.465465238095238,0.584001764705882,0.118536526610644,62,17,0.0390530306444345
80,80,0.584001764705882,1.10331428571429,0.519312521008403,17,7,0.0447449393904181
87,87,1.10331428571429,0.48746338028169,-0.615850905432596,7,71,0.026965406479771
158,158,0.48746338028169,0.624122133333333,0.136658753051643,71,75,0.0172976193920156
233,233,0.624122133333333,0.253625,-0.370497133333333,75,2,0.10389920379481
235,235,0.253625,0.363729338235294,0.110104338235294,2,272,0.103137472492443
507,507,0.363729338235294,0.483390526315789,0.119661188080495,272,114,0.0160921267989242
621,621,0.483390526315789,0.6347,0.151309473684211,114,8,0.0320672153218443
629,629,0.6347,0.48868,-0.14602,8,6,0.0565825282136422
635,635,0.48868,0.375852307692308,-0.112827692307692,6,13,0.0596584229122653
648,648,0.375852307692308,0.628557916666667,0.252705608974359,13,48,0.0372935174814199
696,696,0.628557916666667,0.3298278125,-0.298730104166667,48,32,0.0212338450593958
728,728,0.3298278125,0.613506842105263,0.283679029605263,32,19,0.0377257355903534
747,747,0.613506842105263,0.333024369747899,-0.280482472357364,19,119,0.0353744787178796
866,866,0.333024369747899,0.624536666666667,0.291512296918767,119,12,0.0308702726155836
878,878,0.624536666666667,0.341267,-0.283269666666667,12,20,0.0348082296278112
898,898,0.341267,0.661678888888889,0.320411888888889,20,54,0.023406005814764
952,952,0.661678888888889,0.750875,0.0891961111111111,54,2,0.024192348585772
954,954,0.750875,0.45691375,-0.29396125,2,128,0.0219671838015989
1082,1082,0.45691375,0.621090508474576,0.164176758474576,128,59,0.0163586588201076
1141,1141,0.621090508474576,0.483065454545454,-0.138025053929122,59,33,0.0235369360062234
1174,1174,0.483065454545454,0.388398837209302,-0.0946666173361522,33,86,0.024189315455863
1260,1260,0.388398837209302,0.486164776119403,0.0977659389101007,86,67,0.0184442018796358
1327,1327,0.486164776119403,0.552289375,0.0661245988805971,67,32,0.0244758246718529
1359,1359,0.552289375,1.04395142857143,0.491662053571429,32,7,0.0485937770203357
1366,1366,1.04395142857143,0.555357777777778,-0.488593650793651,7,9,0.0534284443087171
1375,1375,0.555357777777778,1.1056,0.550242222222222,9,2,0.0307389978109201
1377,1377,1.1056,0.42983,-0.67577,2,6,0.0471409017025909
1383,1383,0.42983,0.574931638418079,0.145101638418079,6,177,0.0476697192682485
1560,1560,0.574931638418079,0.49926,-0.0756716384180791,177,2,0.101159691190613
1562,1562,0.49926,0.67256,0.1733,2,3,0.107332005167766
1565,1565,0.67256,1.04685333333333,0.374293333333333,3,6,0.0514360241249047
1571,1571,1.04685333333333,0.587069545454546,-0.459783787878787,6,44,0.0391187583627307
1615,1615,0.587069545454546,1.15265,0.565580454545454,44,2,0.0384987845444147
1617,1617,1.15265,0.643726666666667,-0.508923333333333,2,3,0.072056181167506
1620,1620,0.643726666666667,0.523074081632653,-0.120652585034014,3,98,0.0650124706527149
