index	level before	level after	step	dwell before	dwell after	predicted error	measured error
12.0	-0.6118172574109144	0.9542699444238585	1.566087201834773	13.0	4.0	0.7632546214393866	0.7237419866179724
16.0	0.9542699444238585	-0.08337849180045127	-1.0376484362243097	4.0	79.0	0.6841355502797702	0.6134303786296772
95.0	-0.08337849180045127	1.5258162839215312	1.6091947757219824	79.0	7.0	0.526421130731868	0.4684399844456381
102.0	1.5258162839215312	5.001280856188639	3.475464572267107	7.0	17.0	0.5994856529126955	0.6143296075121641
119.0	5.001280856188639	2.9703259146467547	-2.030954941541884	17.0	10.0	0.5319907427182607	0.6222230674479294
129.0	2.9703259146467547	5.040616985270784	2.0702910706240294	10.0	10.0	0.5969825703606648	0.5907878990801168
139.0	5.040616985270784	2.206032572341659	-2.834584412929125	10.0	9.0	0.6133412860432824	0.5592570159244807
148.0	2.206032572341659	4.512310552453889	2.30627798011223	9.0	11.0	0.5999900582631115	0.6876703338622858
159.0	4.512310552453889	2.9058872121402572	-1.6064233403136319	11.0	10.0	0.5832569983838775	0.6142608865555536
169.0	2.9058872121402572	6.545494803816519	3.6396075916762616	10.0	3.0	0.8787345504651883	0.8968752033910905
172.0	6.545494803816519	5.156306681392299	-1.38918812242422	3.0	6.0	0.943912322880714	0.6203038543624009
178.0	5.156306681392299	3.4980738010629326	-1.6582328803293662	6.0	11.0	0.6774841616366977	0.6216662645371236
189.0	3.4980738010629326	5.568565312209428	2.070491511146495	11.0	14.0	0.5378439622142104	0.40466536869129877
203.0	5.568565312209428	7.688185114530063	2.119619802320635	14.0	2.0	1.0090847186781637	0.6275025586655211
205.0	7.688185114530063	6.243672191656824	-1.4445129228732387	2.0	4.0	1.1560517764914762	0.7586352547222972
209.0	6.243672191656824	8.7039012678107	2.460229076153876	4.0	11.0	0.7794099487109399	0.8555513482221625
220.0	8.7039012678107	6.82148766604651	-1.8824136017641901	11.0	9.0	0.5999900582631115	0.5842594776763925
229.0	6.82148766604651	9.450188413491752	2.628700747445242	9.0	10.0	0.6133412860432824	0.6446632825495583
239.0	9.450188413491752	8.109174762947326	-1.3410136505444257	10.0	2.0	1.0340041430977336	0.949477415271816
241.0	8.109174762947326	7.021931202816494	-1.0872435601308323	2.0	7.0	1.0702959710535738	0.4782841226268512
248.0	7.021931202816494	8.948342253080536	1.9264110502640426	7.0	11.0	0.6454127546570525	0.6683907182131162
259.0	8.948342253080536	6.729086416077681	-2.219255837002855	11.0	9.0	0.5999900582631115	0.6864544527947642
